frame,time,X,Y,x_change,y_change,velocity(px/s),velocity(m/s)
1,0.0,19.415,13.643,0.07499999999999929,0.07499999999999929,0.10606601717798111,0.023925587930881113
2,0.008333333333333333,19.865,13.643,0.4499999999999993,0.4499999999999993,0.6363961030678917,0.14355352758528783
3,0.016666666666666666,20.24,13.718,0.375,0.375,0.5303300858899106,0.1196279396544067
4,0.025,20.54,13.643,0.3000000000000007,0.3000000000000007,0.4242640687119295,0.09570235172352559
5,0.03333333333333333,20.915,13.643,0.375,0.375,0.5303300858899106,0.1196279396544067
6,0.041666666666666664,21.364,13.718,0.4490000000000016,0.4490000000000016,0.6349818895055219,0.14323451974621015
7,0.05,21.814,13.793,0.4499999999999993,0.4499999999999993,0.6363961030678917,0.14355352758528783
8,0.058333333333333334,22.039,13.793,0.22500000000000142,0.22500000000000142,0.3181980515339484,0.07177676379264449
9,0.06666666666666667,22.339,13.793,0.29999999999999716,0.29999999999999716,0.42426406871192446,0.09570235172352445
10,0.075,22.714,13.493,0.375,0.375,0.5303300858899106,0.1196279396544067
11,0.08333333333333333,23.088,13.718,0.37400000000000233,0.37400000000000233,0.5289158723275409,0.11930893181532905
12,0.09166666666666666,23.463,13.793,0.375,0.375,0.5303300858899106,0.1196279396544067
13,0.1,23.763,13.868,0.3000000000000007,0.3000000000000007,0.4242640687119295,0.09570235172352559
