frame,time,X,Y,x_change,y_change,velocity(cm/s),velocity(m/s),delta_x_change,time_change,delta_time_change,err_v
4,0.01,20.289,13.405,0.009370000000000012,-0.04100000000000037,0.9370000000000012,0.009370000000000012,0.0,0.01,0,0.0
5,0.0125,20.656,13.446,0.012629999999999982,0.04100000000000037,1.2629999999999981,0.012629999999999982,0.0,0.01,0,0.0
6,0.015,20.819,13.486,0.010599999999999988,0.0810000000000013,1.0599999999999987,0.010599999999999988,0.0,0.01,0,0.0
7,0.0175,21.144,13.486,0.010989999999999967,0.12199999999999989,1.0989999999999966,0.010989999999999967,0.0,0.01,0,0.0
8,0.02,21.348,13.527,0.010589999999999974,0.12199999999999989,1.0589999999999975,0.010589999999999974,0.0,0.01,0,0.0
9,0.0225,21.674,13.527,0.010180000000000007,0.08099999999999952,1.0180000000000007,0.010180000000000007,0.0,0.01,0,0.0
10,0.025,22.041,13.486,0.012220000000000014,0.0,1.2220000000000013,0.012220000000000014,0.0,0.01,0,0.0
11,0.0275,22.244,13.527,0.011000000000000015,0.04099999999999859,1.1000000000000014,0.011000000000000015,0.0,0.01,0,0.0
12,0.03,22.57,13.527,0.012220000000000014,0.0,1.2220000000000013,0.012220000000000014,0.0,0.01,0,0.0
13,0.0325,22.733,13.527,0.01059000000000001,0.0,1.059000000000001,0.01059000000000001,0.0,0.01,0,0.0
14,0.035,23.1,13.527,0.01059000000000001,0.04099999999999859,1.059000000000001,0.01059000000000001,0.0,0.01,0,0.0
